window,phi,overall,stability,success_rate,latency_score
0,0.984230,0.990316,0.992636,1.000000,0.966310
1,0.980902,0.988646,0.992252,1.000000,0.958726
2,0.983663,0.989689,0.991463,1.000000,0.965521
3,0.985153,0.990450,0.991634,1.000000,0.968981
4,0.981246,0.988827,0.992321,1.000000,0.959496
5,0.985976,0.990735,0.991243,1.000000,0.971190
6,0.983440,0.989980,0.992739,1.000000,0.964423
7,0.982342,0.989277,0.992134,1.000000,0.962116
8,0.983812,0.989774,0.991507,1.000000,0.965853
9,0.986259,0.991379,0.992989,1.000000,0.970919
10,0.983949,0.989660,0.990905,1.000000,0.966491
11,0.982639,0.989290,0.991734,1.000000,0.962981
12,0.982045,0.989128,0.992101,1.000000,0.961438
13,0.986596,0.991075,0.991377,1.000000,0.972621
14,0.987126,0.991510,0.992013,1.000000,0.973522
15,0.985158,0.990280,0.991037,1.000000,0.969328
16,0.985435,0.990410,0.991021,1.000000,0.970008
17,0.986563,0.990984,0.991101,1.000000,0.972718
18,0.982551,0.989086,0.991207,1.000000,0.963016
19,0.981864,0.988775,0.991248,1.000000,0.961381
20,0.980177,0.988162,0.991796,1.000000,0.957219
21,0.984448,0.990337,0.992374,1.000000,0.966939
22,0.987077,0.991275,0.991240,1.000000,0.973893
23,0.980356,0.988476,0.992505,1.000000,0.957373
24,0.982977,0.989605,0.992237,1.000000,0.963553
25,0.979738,0.987724,0.991064,1.000000,0.956492
26,0.986647,0.991302,0.992098,1.000000,0.972313
27,0.981098,0.988827,0.992529,1.000000,0.959075
28,0.980669,0.988453,0.991989,1.000000,0.958286
29,0.986878,0.991363,0.991919,1.000000,0.972976
30,0.984814,0.990172,0.991239,1.000000,0.968383
31,0.979816,0.987936,0.991614,1.000000,0.956453
32,0.983805,0.989831,0.991708,1.000000,0.965739
33,0.982427,0.989384,0.992348,1.000000,0.962225
34,0.980229,0.988463,0.992639,1.000000,0.957034
35,0.981983,0.988700,0.990819,1.000000,0.961862
36,0.987079,0.991337,0.991469,1.000000,0.973747
37,0.980486,0.988308,0.991803,1.000000,0.957933
38,0.981671,0.988981,0.992187,1.000000,0.960532
39,0.986843,0.991449,0.992283,1.000000,0.972679
40,0.981227,0.988734,0.992060,1.000000,0.959551
41,0.983840,0.989920,0.991945,1.000000,0.965708
42,0.981175,0.988558,0.991583,1.000000,0.959624
43,0.986332,0.990968,0.991457,1.000000,0.971928
44,0.986515,0.990871,0.990768,1.000000,0.972819
45,0.980904,0.988351,0.991328,1.000000,0.959099
46,0.981167,0.988622,0.991795,1.000000,0.959520
47,0.984189,0.989986,0.991621,1.000000,0.966691
48,0.980555,0.988043,0.990866,1.000000,0.958482
49,0.985021,0.990670,0.992580,1.000000,0.968192
50,0.983980,0.990094,0.992300,1.000000,0.965873
51,0.982761,0.989321,0.991650,1.000000,0.963306
