iteration,phi,overall,omega,sigma,lambda
0,0.698338,0.720000,0.800000,0.750000,0.500000
1,0.712800,0.735249,0.813260,0.766575,0.516575
2,0.727089,0.750319,0.826264,0.782830,0.533407
3,0.741196,0.765197,0.838996,0.798745,0.550504
4,0.755114,0.779869,0.851438,0.814298,0.567872
5,0.768835,0.794318,0.863571,0.829464,0.585518
6,0.782353,0.808527,0.875375,0.844219,0.603448
7,0.795659,0.822478,0.886827,0.858534,0.621668
8,0.808747,0.836150,0.897904,0.872380,0.640183
9,0.821610,0.849522,0.908580,0.885725,0.658997
10,0.834242,0.862569,0.918830,0.898537,0.678112
11,0.846640,0.875268,0.928624,0.910780,0.697531
12,0.858799,0.887590,0.937932,0.922415,0.717254
13,0.870718,0.899507,0.946723,0.933404,0.737278
14,0.882397,0.910989,0.954965,0.943707,0.757600
15,0.893840,0.922004,0.962624,0.953280,0.778212
16,0.905052,0.932520,0.969666,0.962082,0.799104
17,0.916043,0.942502,0.976055,0.970069,0.820262
18,0.926824,0.951918,0.981759,0.977199,0.841671
19,0.937414,0.960732,0.986745,0.983431,0.863308
20,0.947831,0.968912,0.990981,0.988726,0.885148
21,0.958102,0.976427,0.994438,0.993048,0.907164
