iteration,phi,overall,omega,sigma,lambda
0,0.558412,0.560000,0.600000,0.550000,0.500000
1,0.575825,0.577664,0.618116,0.570381,0.511323
2,0.593147,0.595273,0.636122,0.590638,0.522843
3,0.610370,0.612823,0.654010,0.610761,0.534571
4,0.627489,0.630308,0.671770,0.630741,0.546517
5,0.644496,0.647722,0.689392,0.650566,0.558691
6,0.661382,0.665057,0.706867,0.670225,0.571104
7,0.678140,0.682307,0.724180,0.689703,0.583770
8,0.694759,0.699462,0.741319,0.708984,0.596702
9,0.711228,0.716511,0.758268,0.728052,0.609915
10,0.727536,0.733444,0.775011,0.746887,0.623423
11,0.743669,0.750246,0.791526,0.765466,0.637244
12,0.759614,0.766902,0.807792,0.783766,0.651396
13,0.775354,0.783395,0.823783,0.801756,0.665898
14,0.790871,0.799705,0.839472,0.819406,0.680770
15,0.806146,0.815807,0.854824,0.836677,0.696035
16,0.821159,0.831675,0.869802,0.853527,0.711715
17,0.835886,0.847275,0.884362,0.869907,0.727835
18,0.850303,0.862570,0.898454,0.885761,0.744419
19,0.864384,0.877516,0.912021,0.901024,0.761492
20,0.878101,0.892062,0.924996,0.915620,0.779079
21,0.891428,0.906147,0.937302,0.929465,0.797202
22,0.904340,0.919700,0.948851,0.942458,0.815881
23,0.916815,0.932639,0.959545,0.954488,0.835128
24,0.928840,0.944871,0.969272,0.965431,0.854948
25,0.940412,0.956288,0.977908,0.975147,0.875332
26,0.951545,0.966775,0.985323,0.983488,0.896254
