d,path,phi,overall,below_gap1,below_accept
0.0000,enviesado,1.000000,1.000000,false,false
0.0020,enviesado,0.998501,0.998600,false,false
0.0040,enviesado,0.997001,0.997200,false,false
0.0060,enviesado,0.995502,0.995800,false,false
0.0080,enviesado,0.994003,0.994400,false,false
0.0100,enviesado,0.992503,0.993000,false,false
0.0120,enviesado,0.991004,0.991600,false,false
0.0140,enviesado,0.989505,0.990200,false,false
0.0160,enviesado,0.988005,0.988800,false,false
0.0180,enviesado,0.986506,0.987400,false,false
0.0200,enviesado,0.985007,0.986000,false,false
0.0220,enviesado,0.983507,0.984600,false,false
0.0240,enviesado,0.982008,0.983200,false,false
0.0260,enviesado,0.980509,0.981800,false,false
0.0280,enviesado,0.979009,0.980400,false,false
0.0300,enviesado,0.977510,0.979000,false,false
0.0320,enviesado,0.976011,0.977600,false,false
0.0340,enviesado,0.974511,0.976200,false,false
0.0360,enviesado,0.973012,0.974800,false,false
0.0380,enviesado,0.971513,0.973400,false,false
0.0400,enviesado,0.970013,0.972000,false,false
0.0420,enviesado,0.968514,0.970600,false,false
0.0440,enviesado,0.967015,0.969200,false,false
0.0460,enviesado,0.965515,0.967800,false,false
0.0480,enviesado,0.964016,0.966400,false,false
0.0500,enviesado,0.962517,0.965000,false,false
0.0520,enviesado,0.961017,0.963600,false,false
0.0540,enviesado,0.959518,0.962200,false,false
0.0560,enviesado,0.958019,0.960800,false,false
0.0580,enviesado,0.956519,0.959400,false,false
0.0600,enviesado,0.955020,0.958000,false,false
0.0620,enviesado,0.953521,0.956600,false,false
0.0640,enviesado,0.952021,0.955200,false,false
0.0660,enviesado,0.950522,0.953800,false,false
0.0680,enviesado,0.949023,0.952400,false,false
0.0700,enviesado,0.947523,0.951000,false,false
0.0720,enviesado,0.946024,0.949600,false,false
0.0740,enviesado,0.944525,0.948200,false,false
0.0760,enviesado,0.943025,0.946800,false,false
0.0780,enviesado,0.941526,0.945400,false,false
0.0800,enviesado,0.940027,0.944000,false,false
0.0820,enviesado,0.938527,0.942600,false,false
0.0840,enviesado,0.937028,0.941200,false,false
0.0860,enviesado,0.935529,0.939800,false,false
0.0880,enviesado,0.934029,0.938400,false,false
0.0900,enviesado,0.932530,0.937000,false,false
0.0920,enviesado,0.931031,0.935600,false,false
0.0940,enviesado,0.929531,0.934200,false,false
0.0960,enviesado,0.928032,0.932800,false,false
0.0980,enviesado,0.926533,0.931400,false,false
0.1000,enviesado,0.925033,0.930000,false,false
0.1020,enviesado,0.923534,0.928600,false,false
0.1040,enviesado,0.922035,0.927200,false,false
0.1060,enviesado,0.920535,0.925800,false,false
0.1080,enviesado,0.919036,0.924400,false,false
0.1100,enviesado,0.917537,0.923000,false,false
0.1120,enviesado,0.916037,0.921600,false,false
0.1140,enviesado,0.914538,0.920200,false,false
0.1160,enviesado,0.913039,0.918800,false,false
0.1180,enviesado,0.911539,0.917400,false,false
0.1200,enviesado,0.910040,0.916000,false,false
0.1220,enviesado,0.908541,0.914600,false,false
0.1240,enviesado,0.907041,0.913200,false,false
0.1260,enviesado,0.905542,0.911800,false,false
0.1280,enviesado,0.904043,0.910400,false,false
0.1300,enviesado,0.902543,0.909000,false,false
0.1320,enviesado,0.901044,0.907600,false,false
0.1340,enviesado,0.899545,0.906200,false,false
0.1360,enviesado,0.898045,0.904800,false,false
0.1380,enviesado,0.896546,0.903400,false,false
0.1400,enviesado,0.895047,0.902000,false,false
0.1420,enviesado,0.893547,0.900600,false,false
0.1440,enviesado,0.892048,0.899200,false,false
0.1460,enviesado,0.890549,0.897800,false,false
0.1480,enviesado,0.889049,0.896400,false,false
0.1500,enviesado,0.887550,0.895000,false,false
0.1520,enviesado,0.886051,0.893600,false,false
0.1540,enviesado,0.884551,0.892200,false,false
0.1560,enviesado,0.883052,0.890800,false,false
0.1580,enviesado,0.881553,0.889400,false,false
0.1600,enviesado,0.880053,0.888000,false,false
0.1620,enviesado,0.878554,0.886600,false,false
0.1640,enviesado,0.877055,0.885200,false,false
0.1660,enviesado,0.875555,0.883800,false,false
0.1680,enviesado,0.874056,0.882400,false,false
0.1700,enviesado,0.872557,0.881000,false,false
0.1720,enviesado,0.871057,0.879600,false,false
0.1740,enviesado,0.869558,0.878200,false,false
0.1760,enviesado,0.868059,0.876800,false,false
0.1780,enviesado,0.866559,0.875400,false,false
0.1800,enviesado,0.865060,0.874000,false,false
0.1820,enviesado,0.863561,0.872600,false,false
0.1840,enviesado,0.862061,0.871200,false,false
0.1860,enviesado,0.860562,0.869800,false,false
0.1880,enviesado,0.859063,0.868400,false,false
0.1900,enviesado,0.857563,0.867000,false,false
0.1920,enviesado,0.856064,0.865600,false,false
0.1940,enviesado,0.854565,0.864200,false,false
0.1960,enviesado,0.853065,0.862800,false,false
0.1980,enviesado,0.851566,0.861400,false,false
0.2000,enviesado,0.850067,0.860000,false,false
0.2020,enviesado,0.848567,0.858600,false,false
0.2040,enviesado,0.847068,0.857200,false,false
0.2060,enviesado,0.845569,0.855800,false,false
0.2080,enviesado,0.844069,0.854400,false,false
