d,path,phi,overall,below_gap1,below_accept
0.0000,uniforme,1.000000,1.000000,false,false
0.0020,uniforme,0.998000,0.998000,false,false
0.0040,uniforme,0.996000,0.996000,false,false
0.0060,uniforme,0.994000,0.994000,false,false
0.0080,uniforme,0.992000,0.992000,false,false
0.0100,uniforme,0.990000,0.990000,false,false
0.0120,uniforme,0.988000,0.988000,false,false
0.0140,uniforme,0.986000,0.986000,false,false
0.0160,uniforme,0.984000,0.984000,false,false
0.0180,uniforme,0.982000,0.982000,false,false
0.0200,uniforme,0.980000,0.980000,false,false
0.0220,uniforme,0.978000,0.978000,false,false
0.0240,uniforme,0.976000,0.976000,false,false
0.0260,uniforme,0.974000,0.974000,false,false
0.0280,uniforme,0.972000,0.972000,false,false
0.0300,uniforme,0.970000,0.970000,false,false
0.0320,uniforme,0.968000,0.968000,false,false
0.0340,uniforme,0.966000,0.966000,false,false
0.0360,uniforme,0.964000,0.964000,false,false
0.0380,uniforme,0.962000,0.962000,false,false
0.0400,uniforme,0.960000,0.960000,false,false
0.0420,uniforme,0.958000,0.958000,false,false
0.0440,uniforme,0.956000,0.956000,false,false
0.0460,uniforme,0.954000,0.954000,false,false
0.0480,uniforme,0.952000,0.952000,false,false
0.0500,uniforme,0.950000,0.950000,false,false
0.0520,uniforme,0.948000,0.948000,false,false
0.0540,uniforme,0.946000,0.946000,false,false
0.0560,uniforme,0.944000,0.944000,false,false
0.0580,uniforme,0.942000,0.942000,false,false
0.0600,uniforme,0.940000,0.940000,false,false
0.0620,uniforme,0.938000,0.938000,false,false
0.0640,uniforme,0.936000,0.936000,false,false
0.0660,uniforme,0.934000,0.934000,false,false
0.0680,uniforme,0.932000,0.932000,false,false
0.0700,uniforme,0.930000,0.930000,false,false
0.0720,uniforme,0.928000,0.928000,false,false
0.0740,uniforme,0.926000,0.926000,false,false
0.0760,uniforme,0.924000,0.924000,false,false
0.0780,uniforme,0.922000,0.922000,false,false
0.0800,uniforme,0.920000,0.920000,false,false
0.0820,uniforme,0.918000,0.918000,false,false
0.0840,uniforme,0.916000,0.916000,false,false
0.0860,uniforme,0.914000,0.914000,false,false
0.0880,uniforme,0.912000,0.912000,false,false
0.0900,uniforme,0.910000,0.910000,false,false
0.0920,uniforme,0.908000,0.908000,false,false
0.0940,uniforme,0.906000,0.906000,false,false
0.0960,uniforme,0.904000,0.904000,false,false
0.0980,uniforme,0.902000,0.902000,false,false
0.1000,uniforme,0.900000,0.900000,false,false
0.1020,uniforme,0.898000,0.898000,false,false
0.1040,uniforme,0.896000,0.896000,false,false
0.1060,uniforme,0.894000,0.894000,false,false
0.1080,uniforme,0.892000,0.892000,false,false
0.1100,uniforme,0.890000,0.890000,false,false
0.1120,uniforme,0.888000,0.888000,false,false
0.1140,uniforme,0.886000,0.886000,false,false
0.1160,uniforme,0.884000,0.884000,false,false
0.1180,uniforme,0.882000,0.882000,false,false
0.1200,uniforme,0.880000,0.880000,false,false
0.1220,uniforme,0.878000,0.878000,false,false
0.1240,uniforme,0.876000,0.876000,false,false
0.1260,uniforme,0.874000,0.874000,false,false
0.1280,uniforme,0.872000,0.872000,false,false
0.1300,uniforme,0.870000,0.870000,false,false
0.1320,uniforme,0.868000,0.868000,false,false
0.1340,uniforme,0.866000,0.866000,false,false
0.1360,uniforme,0.864000,0.864000,false,false
0.1380,uniforme,0.862000,0.862000,false,false
0.1400,uniforme,0.860000,0.860000,false,false
0.1420,uniforme,0.858000,0.858000,false,false
0.1440,uniforme,0.856000,0.856000,false,false
0.1460,uniforme,0.854000,0.854000,false,false
0.1480,uniforme,0.852000,0.852000,false,false
0.1500,uniforme,0.850000,0.850000,false,false
0.1520,uniforme,0.848000,0.848000,false,false
0.1540,uniforme,0.846000,0.846000,false,false
0.1560,uniforme,0.844000,0.844000,false,false
0.1580,uniforme,0.842000,0.842000,false,false
0.1600,uniforme,0.840000,0.840000,false,false
0.1620,uniforme,0.838000,0.838000,false,false
0.1640,uniforme,0.836000,0.836000,false,false
0.1660,uniforme,0.834000,0.834000,false,false
0.1680,uniforme,0.832000,0.832000,false,false
0.1700,uniforme,0.830000,0.830000,false,false
0.1720,uniforme,0.828000,0.828000,false,false
0.1740,uniforme,0.826000,0.826000,false,false
0.1760,uniforme,0.824000,0.824000,false,false
0.1780,uniforme,0.822000,0.822000,false,false
0.1800,uniforme,0.820000,0.820000,false,false
0.1820,uniforme,0.818000,0.818000,false,false
0.1840,uniforme,0.816000,0.816000,false,false
0.1860,uniforme,0.814000,0.814000,false,false
0.1880,uniforme,0.812000,0.812000,false,false
0.1900,uniforme,0.810000,0.810000,false,false
0.1920,uniforme,0.808000,0.808000,false,false
0.1940,uniforme,0.806000,0.806000,false,false
0.1960,uniforme,0.804000,0.804000,false,false
0.1980,uniforme,0.802000,0.802000,false,false
0.2000,uniforme,0.800000,0.800000,false,true
0.2020,uniforme,0.798000,0.798000,false,true
0.2040,uniforme,0.796000,0.796000,false,true
0.2060,uniforme,0.794000,0.794000,false,true
0.2080,uniforme,0.792000,0.792000,false,true
0.2100,uniforme,0.790000,0.790000,false,true
0.2120,uniforme,0.788000,0.788000,false,true
0.2140,uniforme,0.786000,0.786000,false,true
0.2160,uniforme,0.784000,0.784000,false,true
0.2180,uniforme,0.782000,0.782000,false,true
0.2200,uniforme,0.780000,0.780000,false,true
0.2220,uniforme,0.778000,0.778000,false,true
0.2240,uniforme,0.776000,0.776000,false,true
0.2260,uniforme,0.774000,0.774000,false,true
0.2280,uniforme,0.772000,0.772000,false,true
0.2300,uniforme,0.770000,0.770000,false,true
0.2320,uniforme,0.768000,0.768000,false,true
0.2340,uniforme,0.766000,0.766000,false,true
0.2360,uniforme,0.764000,0.764000,false,true
0.2380,uniforme,0.762000,0.762000,false,true
0.2400,uniforme,0.760000,0.760000,false,true
0.2420,uniforme,0.758000,0.758000,false,true
0.2440,uniforme,0.756000,0.756000,false,true
0.2460,uniforme,0.754000,0.754000,false,true
0.2480,uniforme,0.752000,0.752000,false,true
0.2500,uniforme,0.750000,0.750000,false,true
0.2520,uniforme,0.748000,0.748000,false,true
0.2540,uniforme,0.746000,0.746000,false,true
0.2560,uniforme,0.744000,0.744000,false,true
0.2580,uniforme,0.742000,0.742000,false,true
0.2600,uniforme,0.740000,0.740000,false,true
0.2620,uniforme,0.738000,0.738000,false,true
0.2640,uniforme,0.736000,0.736000,false,true
0.2660,uniforme,0.734000,0.734000,false,true
0.2680,uniforme,0.732000,0.732000,false,true
0.2700,uniforme,0.730000,0.730000,false,true
0.2720,uniforme,0.728000,0.728000,false,true
0.2740,uniforme,0.726000,0.726000,false,true
0.2760,uniforme,0.724000,0.724000,false,true
0.2780,uniforme,0.722000,0.722000,false,true
0.2800,uniforme,0.720000,0.720000,false,true
0.2820,uniforme,0.718000,0.718000,false,true
0.2840,uniforme,0.716000,0.716000,false,true
0.2860,uniforme,0.714000,0.714000,false,true
0.2880,uniforme,0.712000,0.712000,false,true
0.2900,uniforme,0.710000,0.710000,false,true
0.2920,uniforme,0.708000,0.708000,false,true
0.2940,uniforme,0.706000,0.706000,false,true
