jitter,window,phi,overall
jitter,window,phi,overall
0.00,0,0.982335,0.990137
0.00,1,0.987393,0.992801
0.00,2,0.981246,0.989902
0.00,3,0.985794,0.991945
0.00,4,0.985742,0.991905
0.00,5,0.981205,0.989804
0.00,6,0.986138,0.991937
0.00,7,0.981180,0.989730
0.00,8,0.983728,0.990998
0.00,9,0.980107,0.989136
0.00,10,0.986991,0.992457
0.00,11,0.985703,0.992006
0.00,12,0.987030,0.992321
0.00,13,0.983599,0.990710
0.00,14,0.986871,0.992234
0.00,15,0.983689,0.990745
0.00,16,0.981175,0.989886
0.00,17,0.984217,0.991087
0.00,18,0.984493,0.991200
0.00,19,0.986902,0.992463
0.00,20,0.983259,0.990624
0.00,21,0.986943,0.992358
0.00,22,0.983311,0.990714
0.00,23,0.986029,0.992126
0.00,24,0.986486,0.992074
0.00,25,0.983255,0.990845
0.00,26,0.987463,0.992620
0.00,27,0.985809,0.991836
0.00,28,0.982027,0.990090
0.00,29,0.985224,0.991678
0.00,30,0.985979,0.991836
0.00,31,0.983964,0.990824
0.00,32,0.982216,0.990073
0.00,33,0.983462,0.990803
0.00,34,0.980990,0.989603
0.00,35,0.984139,0.991007
0.00,36,0.985077,0.991606
0.00,37,0.982011,0.990223
0.00,38,0.985920,0.991940
0.00,39,0.985939,0.991688
jitter,window,phi,overall
0.05,0,0.984125,0.989362
0.05,1,0.985105,0.989903
0.05,2,0.980876,0.987815
0.05,3,0.982815,0.988352
0.05,4,0.983295,0.989165
0.05,5,0.983849,0.989509
0.05,6,0.984224,0.989386
0.05,7,0.987083,0.991148
0.05,8,0.980795,0.988375
0.05,9,0.982620,0.988725
0.05,10,0.984969,0.989699
0.05,11,0.987170,0.991227
0.05,12,0.982615,0.988828
0.05,13,0.982202,0.988157
0.05,14,0.984679,0.989793
0.05,15,0.986740,0.990809
0.05,16,0.986891,0.990893
0.05,17,0.980764,0.988387
0.05,18,0.980522,0.988040
0.05,19,0.985770,0.990461
0.05,20,0.984702,0.990074
0.05,21,0.979699,0.987387
0.05,22,0.985051,0.990177
0.05,23,0.980252,0.987905
0.05,24,0.981350,0.987725
0.05,25,0.985306,0.989933
0.05,26,0.985364,0.990688
0.05,27,0.980453,0.987456
0.05,28,0.986411,0.990812
0.05,29,0.983295,0.989110
0.05,30,0.981462,0.988387
0.05,31,0.982086,0.989060
0.05,32,0.986683,0.990826
0.05,33,0.986847,0.991070
0.05,34,0.983060,0.988896
0.05,35,0.986520,0.990884
0.05,36,0.986498,0.990691
0.05,37,0.981852,0.988199
0.05,38,0.982101,0.988755
0.05,39,0.983070,0.988755
jitter,window,phi,overall
0.10,0,0.980558,0.985429
0.10,1,0.979015,0.984630
0.10,2,0.980914,0.986130
0.10,3,0.980139,0.985744
0.10,4,0.978542,0.985033
0.10,5,0.979712,0.985424
0.10,6,0.982670,0.987211
0.10,7,0.981335,0.985726
0.10,8,0.982000,0.986537
0.10,9,0.983230,0.987362
0.10,10,0.978799,0.984962
