seed,threshold,n,t_max,dt,peak_drift,final_drift,peak_time,branches,passed_i16,passed_i18,reference,run_id
7,0.3,16,3.0,0.01,0.06185634398650864,0.04145574335591185,2.02,4,true,false,I16,000000
8,0.3,8,0.3,0.01,0.01775983693785932,0.01775983693785932,0.3,1,false,true,I18,000001
0,0.05,4,0.3,0.005,0.0021340333344894713,0.0021340333344894713,0.3,4,true,true,candidate,000002
0,0.05,4,0.3,0.01,0.002134033339700192,0.002134033339700192,0.3,4,true,true,candidate,000003
0,0.05,4,0.3,0.02,0.002134033411837377,0.002134033411837377,0.3,4,true,true,candidate,000004
0,0.05,4,0.5,0.005,0.00774883753265998,0.00774883753265998,0.5,4,true,true,candidate,000005
0,0.05,4,0.5,0.01,0.007748837540554776,0.007748837540554776,0.5,4,true,true,candidate,000006
0,0.05,4,0.5,0.02,0.00774883764817913,0.00774883764817913,0.5,4,true,true,candidate,000007
0,0.05,4,1.0,0.005,0.02890109149210507,0.02890109149210507,1.0,4,true,true,candidate,000008
0,0.05,4,1.0,0.01,0.028901091508172216,0.028901091508172216,1.0,4,true,true,candidate,000009
0,0.05,4,1.0,0.02,0.02890109172785893,0.02890109172785893,1.0,4,true,true,candidate,000010
0,0.05,4,3.0,0.005,0.048529716186282545,0.030683037163186322,1.85,4,true,false,candidate,000011
0,0.05,4,3.0,0.01,0.048529716229163355,0.030683037231689747,1.85,4,true,false,candidate,000012
0,0.05,4,3.0,0.02,0.04852769571923998,0.030683038227996562,1.84,4,true,false,candidate,000013
0,0.05,6,0.3,0.005,0.00451096167385634,0.00451096167385634,0.3,6,true,true,candidate,000014
0,0.05,6,0.3,0.01,0.004510961656028378,0.004510961656028378,0.3,6,true,true,candidate,000015
0,0.05,6,0.3,0.02,0.004510961337693464,0.004510961337693464,0.3,6,true,true,candidate,000016
0,0.05,6,0.5,0.005,0.01095078345409739,0.01095078345409739,0.5,6,true,true,candidate,000017
0,0.05,6,0.5,0.01,0.010950783421492805,0.010950783421492805,0.5,6,true,true,candidate,000018
0,0.05,6,0.5,0.02,0.010950782843379248,0.010950782843379248,0.5,6,true,true,candidate,000019
0,0.05,6,1.0,0.005,0.02778541018375269,0.02778541018375269,1.0,6,true,true,candidate,000020
0,0.05,6,1.0,0.01,0.027785410114131937,0.027785410114131937,1.0,6,true,true,candidate,000021
0,0.05,6,1.0,0.02,0.027785408880728113,0.027785408880728113,1.0,6,true,true,candidate,000022
0,0.05,6,3.0,0.005,0.05632542307070665,0.05632542307070665,3.0,6,true,false,candidate,000023
0,0.05,6,3.0,0.01,0.056325422841547956,0.056325422841547956,3.0,6,true,false,candidate,000024
0,0.05,6,3.0,0.02,0.05632541874988983,0.05632541874988983,3.0,6,true,false,candidate,000025
0,0.05,8,0.3,0.005,0.0022053907798356143,0.0022053907798356143,0.3,8,true,true,candidate,000026
0,0.05,8,0.3,0.01,0.0022053907688546204,0.0022053907688546204,0.3,8,true,true,candidate,000027
0,0.05,8,0.3,0.02,0.002205390345605185,0.002205390345605185,0.3,8,true,true,candidate,000028
0,0.05,8,0.5,0.005,0.0028211130866093725,0.002685295535572285,0.44,8,true,true,candidate,000029
0,0.05,8,0.5,0.01,0.0028211130830393394,0.0026852955389593536,0.44,8,true,true,candidate,000030
0,0.05,8,0.5,0.02,0.00282111266107421,0.002685295178353364,0.44,8,true,true,candidate,000031
0,0.05,8,1.0,0.005,0.00955488528168602,0.00955488528168602,1.0,8,true,true,candidate,000032
0,0.05,8,1.0,0.01,0.009554885179731465,0.009554885179731465,1.0,8,true,true,candidate,000033
0,0.05,8,1.0,0.02,0.009554884348561776,0.009554884348561776,1.0,8,true,true,candidate,000034
0,0.05,8,3.0,0.005,0.02975322584609863,0.02975322584609863,3.0,8,true,true,candidate,000035
0,0.05,8,3.0,0.01,0.02975322556975768,0.02975322556975768,3.0,8,true,true,candidate,000036
0,0.05,8,3.0,0.02,0.029753218851909402,0.029753218851909402,3.0,8,true,true,candidate,000037
0,0.05,12,0.3,0.005,0.01004426342250342,0.01004426342250342,0.3,12,true,true,candidate,000038
0,0.05,12,0.3,0.01,0.010044263078100248,0.010044263078100248,0.3,12,true,true,candidate,000039
0,0.05,12,0.3,0.02,0.010044255748953403,0.010044255748953403,0.3,12,true,true,candidate,000040
0,0.05,12,0.5,0.005,0.022158024050163653,0.022158024050163653,0.5,12,true,true,candidate,000041
0,0.05,12,0.5,0.01,0.022158023432317434,0.022158023432317434,0.5,12,true,true,candidate,000042
0,0.05,12,0.5,0.02,0.02215801044731636,0.02215801044731636,0.5,12,true,true,candidate,000043
0,0.05,12,1.0,0.005,0.039044013882512225,0.039044013882512225,1.0,12,true,false,candidate,000044
0,0.05,12,1.0,0.01,0.039044012778615696,0.039044012778615696,1.0,12,true,false,candidate,000045
0,0.05,12,1.0,0.02,0.03904398864793624,0.03904398864793624,1.0,12,true,false,candidate,000046
0,0.05,12,3.0,0.005,0.03927621298285578,0.017825791436613895,1.08,12,true,false,candidate,000047
0,0.05,12,3.0,0.01,0.03927621182484032,0.017825791072805578,1.08,12,true,false,candidate,000048
0,0.05,12,3.0,0.02,0.039276186275865384,0.0178257648395902,1.08,12,true,false,candidate,000049
0,0.05,16,0.3,0.005,0.004950271244858584,0.004950271244858584,0.3,16,true,true,candidate,000050
0,0.05,16,0.3,0.01,0.004950270784312538,0.004950270784312538,0.3,16,true,true,candidate,000051
0,0.05,16,0.3,0.02,0.004950258761589943,0.004950258761589943,0.3,16,true,true,candidate,000052
0,0.05,16,0.5,0.005,0.009389279319237165,0.009389279319237165,0.5,16,true,true,candidate,000053
0,0.05,16,0.5,0.01,0.009389278613450625,0.009389278613450625,0.5,16,true,true,candidate,000054
0,0.05,16,0.5,0.02,0.009389259472641909,0.009389259472641909,0.5,16,true,true,candidate,000055
0,0.05,16,1.0,0.005,0.016541458754130156,0.016541458754130156,1.0,16,true,true,candidate,000056
0,0.05,16,1.0,0.01,0.01654145740960211,0.01654145740960211,1.0,16,true,true,candidate,000057
0,0.05,16,1.0,0.02,0.016541420176558574,0.016541420176558574,1.0,16,true,true,candidate,000058
0,0.05,16,3.0,0.005,0.032385271554382644,0.02670138521084109,2.57,16,true,false,candidate,000059
0,0.05,16,3.0,0.01,0.03238526964549626,0.02670138281920953,2.57,16,true,false,candidate,000060
0,0.05,16,3.0,0.02,0.032374528809563596,0.026701297447038197,2.58,16,true,false,candidate,000061
0,0.1,4,0.3,0.005,0.0021340333344894713,0.0021340333344894713,0.3,4,true,true,candidate,000062
0,0.1,4,0.3,0.01,0.002134033339700192,0.002134033339700192,0.3,4,true,true,candidate,000063
0,0.1,4,0.3,0.02,0.002134033411837377,0.002134033411837377,0.3,4,true,true,candidate,000064
0,0.1,4,0.5,0.005,0.00774883753265998,0.00774883753265998,0.5,4,true,true,candidate,000065
0,0.1,4,0.5,0.01,0.007748837540554776,0.007748837540554776,0.5,4,true,true,candidate,000066
