"Item","Qtd","Referência","Descrição","Fornecedor","Nº Peça","Classificação"
"1","1","ESTR-01","Estrutura Helmholtz (2 anéis + 4 pontes) — R=50mm, impressão 3D FDM, PLA (protótipo)","Fabricação interna (FDM)","ORB-ST-001","ø100mm, H=5mm/anel, massa ~150g"
"2","1","GCODE-01","G-code de produção corrigido (extrusão absoluta, retração, resfriamento)","Catedral OS (arquivo)","Orbe_Helmholtz_100mm_corrigido.gcode","M82, retração 1.5mm, M106 S255 nas pontes"
"3","2","ROSC-01/02","Parafuso M6 de fixação (montagem) — produção criogênica","McMaster-Carr","M6-316-01","Aço inoxidável 316"
"4","1","PEEK-01","Material de produção (77K) — PEEK ou PA12+CF (alternativa ao PLA)","Fornecedor de filamento","PEEK-01","Resistente a criogenia"
;--- CAMADA TEÓRICA / VISÃO (a desenvolver) ---
"10","1","U1","Microcontrolador RISC-V SiFive FE310-G002, 1 GHz","SiFive","FE310-G002","Vcc=3.3V, 100mA"
"11","1","U2","OPLL (Optical Phase-Locked Loop), 0.96 GHz","Analog Devices","ADF4108","0.96GHz, -70dBc/Hz"
"12","10000","M1-M10000","Memristor Si₃N₄ com grafeno","Custom (fabricação interna)","Si3N4-MEM-01","Vset=3.5V, 1.86pJ/µm²"
"13","1","META1","Metassuperfície TiO₂ (4 cm²)","Custom (ALD)","TiO2-MS-01","Eficiência >50% @532nm"
"14","1","PLASMA1","Câmara de plasma Xe (77K)","Custom","Xe-PL-01","Pressão 0.1-10 Torr"
"15","1","BAT1","Bateria estado sólido Li-Si","SolidPower","SP-100","500 Wh/kg"
"16","1","SENS1","Sensor de temperatura TMP117","Texas Instruments","TMP117","±0.1°C, -55 a 150°C"
"17","1","LDO1","Regulador LDO 5V→3.3V","Texas Instruments","LP5907","3.3V, 250mA"
"18","4","P1-P4","Pinos de fixação M6 (eletrônica)","McMaster-Carr","M6-316-01","Aço inoxidável 316"
